icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,timestamp
4ca815,RYR1SB  ,Ireland,1721483212,1721483212,-6.3969,51.5548,10972.8,False,236.17,352.36,0.0,,11224.26,5555,False,0,2024-07-19 10:00:00
4ca810,RYR3CA  ,Ireland,1721483211,1721483211,-2.6897,53.6416,11582.4,False,220.68,264.52,0.0,,11894.82,1407,False,0,2024-07-19 10:00:00
a1fcc5,UAL4    ,United States,1721483211,1721483211,-5.8927,57.2208,9753.6,False,276.3,324.09,0.0,,9944.1,6326,False,0,2024-07-19 10:00:00
4ca760,RYR16SJ ,Ireland,1721483189,1721483208,-6.2531,53.4304,,True,0.77,157.5,,,,,False,0,2024-07-19 10:00:00
4ca765,RYR48NM ,Ireland,1721483211,1721483211,-5.8613,53.6722,2834.64,False,138.09,53.94,-3.58,,2880.36,1402,False,0,2024-07-19 10:00:00
4ca761,RYR3WD  ,Ireland,1721483212,1721483212,-5.7004,53.5344,4678.68,False,185.27,88.41,23.73,,4754.88,5165,False,0,2024-07-19 10:00:00
4ca73d,RYR17UZ ,Ireland,1721483211,1721483211,-2.0544,51.8477,11582.4,False,232.84,297.07,0.0,,11925.3,7754,False,0,2024-07-19 10:00:00
4ca73e,RYR8AM  ,Ireland,1721483211,1721483211,-6.1673,53.4157,441.96,False,73.92,275.59,-3.58,,441.96,7441,False,0,2024-07-19 10:00:00
4ca76f,EIN39A  ,Ireland,1721483211,1721483211,-1.0688,53.4931,10972.8,False,226.12,278.24,0.0,,11300.46,1376,False,0,2024-07-19 10:00:00
4ca76a,RYR78YJ ,Ireland,1721483212,1721483212,0.0185,50.0559,11277.6,False,200.29,164.96,0.0,,11681.46,6353,False,0,2024-07-19 10:00:00
405ced,GCFGX   ,United Kingdom,1721483169,1721483171,-1.1163,51.1352,563.88,False,55.58,358.41,-0.33,,,,False,0,2024-07-19 10:00:00
4851af,KLM685  ,Kingdom of the Netherlands,1721483211,1721483211,-2.679,57.242,10355.58,False,275.52,316.89,0.33,,10629.9,2125,False,0,2024-07-19 10:00:00
4ca5c7,,Ireland,1721483017,1721483017,-6.251,53.427,,True,5.14,132.19,,,,,False,0,2024-07-19 10:00:00
501c0b,EXS99SU ,Croatia,1721483211,1721483211,0.5348,51.7438,10972.8,False,230.98,300.96,0.0,,11376.66,3566,False,0,2024-07-19 10:00:00
3c8502,MHV20Y  ,Germany,1721483211,1721483211,1.0582,50.958,3893.82,False,153.25,34.33,-6.18,,4023.36,7560,False,0,2024-07-19 10:00:00
4ca703,RYR2PV  ,Ireland,1721483212,1721483212,-6.4439,53.3315,3444.24,False,163.55,156.26,4.88,,3482.34,1471,False,0,2024-07-19 10:00:00
